index,author,content,description,photo_url,pub_date,source,title,url,combined_text,tokens,lems,stems,keywords,final_list
7,"Jamie Stengle, Jake Bleiberg","The tornado crossed over two major interstates. If that happened at rush hour, I think we'd be talking about a different story, he said.
The National Weather Service said the tornado that ripped through North Dallas was an EF-3, with a maximum wind speed of … [+3648 chars]","A tornado tore homes and businesses apart in a densely populated area of Dallas, where only minor injuries were reported, but four people were killed in Arkansas and Oklahoma as a late-night series of storms caused chaos in several states.",https://bostonglobe-prod.cdn.arcpublishing.com/resizer/s9exWJU7VY0kUFS2nouhkMfQSxg=/506x0/arc-anglerfish-arc2-prod-bostonglobe.s3.amazonaws.com/public/FNFJ6THUDYI6TOHSSNY7URDNG4.jpg,2019-10-21,Bostonglobe.com,"Tornado slams Dallas; 4 killed in Arkansas, Oklahoma",https://www.bostonglobe.com/news/nation/2019/10/21/tornado-slams-dallas-killed-arkansas-oklahoma/bHB51jJQCEtq3frjTabuHO/story.html,"The tornado crossed over two major interstates. If that happened at rush hour, I think we'd be talking about a different story, he said.
The National Weather Service said the tornado that ripped through North Dallas was an EF-3, with a maximum wind speed of … [+3648 chars]Tornado slams Dallas; 4 killed in Arkansas, OklahomaA tornado tore homes and businesses apart in a densely populated area of Dallas, where only minor injuries were reported, but four people were killed in Arkansas and Oklahoma as a late-night series of storms caused chaos in several states.","['The', 'tornado', 'crossed', 'over', 'two', 'major', 'interstates', 'If', 'that', 'happened', 'at', 'rush', 'hour', 'I', 'think', 'we', 'd', 'be', 'talking', 'about', 'a', 'different', 'story', 'he', 'said', 'The', 'National', 'Weather', 'Service', 'said', 'the', 'tornado', 'that', 'ripped', 'through', 'North', 'Dallas', 'was', 'an', 'EF', '3', 'with', 'a', 'maximum', 'wind', 'speed', 'of', '3648', 'chars', 'Tornado', 'slams', 'Dallas', '4', 'killed', 'in', 'Arkansas', 'OklahomaA', 'tornado', 'tore', 'homes', 'and', 'businesses', 'apart', 'in', 'a', 'densely', 'populated', 'area', 'of', 'Dallas', 'where', 'only', 'minor', 'injuries', 'were', 'reported', 'but', 'four', 'people', 'were', 'killed', 'in', 'Arkansas', 'and', 'Oklahoma', 'as', 'a', 'late', 'night', 'series', 'of', 'storms', 'caused', 'chaos', 'in', 'several', 'states']",The tornado crossed over two major interstate If that happened at rush hour I think we d be talking about a different story he said The National Weather Service said the tornado that ripped through North Dallas wa an EF 3 with a maximum wind speed of 3648 char Tornado slam Dallas 4 killed in Arkansas OklahomaA tornado tore home and business apart in a densely populated area of Dallas where only minor injury were reported but four people were killed in Arkansas and Oklahoma a a late night series of storm caused chaos in several state,the tornado cross over two major interst If that happen at rush hour I think we d be talk about a differ stori he said the nation weather servic said the tornado that rip through north dalla wa an EF 3 with a maximum wind speed of 3648 char tornado slam dalla 4 kill in arkansa oklahomaa tornado tore home and busi apart in a dens popul area of dalla where onli minor injuri were report but four peopl were kill in arkansa and oklahoma as a late night seri of storm caus chao in sever state,"['tornado', 'crossed', 'oklahoma', 'late', 'killed', 'storms', 'caused', 'chaos', 'densely', 'populated', 'area', 'national', 'weather', 'service', 'said', '3', 'minor', 'injuries', 'think', 'two', 'major', 'interstates', 'four', 'people', '4', '…', '[+', '3648', 'chars', 'reported', 'dallas', 'night', 'series', 'arkansas', 'ripped', 'ef', 'happened', 'maximum', 'wind', 'speed', 'north', 'talking', 'oklahomaa', 'tore', 'homes', 'different', 'story', 'businesses', 'apart', 'several', 'states', 'slams', 'rush', 'hour']",1
18,Associated Press,"DALLAS A tornado tossed trees into homes, tore off storefronts and downed power lines but killed no one in a densely populated area of Dallas, leaving Mayor Eric Johnson to declare the city “very fortunate” to be assessing only property damage.
A meteorologi… [+1238 chars]","DALLAS — A tornado tossed trees into homes, tore off storefronts and downed power lines but killed no one in a densely populated area of Dallas, leaving Mayor Eric Johnson to declare the city “very fortunate” to be assessing only property damage. A meteorolog…",https://www.bostonherald.com/wp-content/uploads/2019/10/AP19294603843150.jpg?w=1024&h=712,2019-10-21,Bostonherald.com,"Tornado slams Dallas; 4 killed in Arkansas, Oklahoma",https://www.bostonherald.com/2019/10/21/tornado-slams-dallas-4-killed-in-arkansas-oklahoma/,"DALLAS A tornado tossed trees into homes, tore off storefronts and downed power lines but killed no one in a densely populated area of Dallas, leaving Mayor Eric Johnson to declare the city “very fortunate” to be assessing only property damage.
A meteorologi… [+1238 chars]Tornado slams Dallas; 4 killed in Arkansas, OklahomaDALLAS — A tornado tossed trees into homes, tore off storefronts and downed power lines but killed no one in a densely populated area of Dallas, leaving Mayor Eric Johnson to declare the city “very fortunate” to be assessing only property damage. A meteorolog…","['DALLAS', 'A', 'tornado', 'tossed', 'trees', 'into', 'homes', 'tore', 'off', 'storefronts', 'and', 'downed', 'power', 'lines', 'but', 'killed', 'no', 'one', 'in', 'a', 'densely', 'populated', 'area', 'of', 'Dallas', 'leaving', 'Mayor', 'Eric', 'Johnson', 'to', 'declare', 'the', 'city', 'very', 'fortunate', 'to', 'be', 'assessing', 'only', 'property', 'damage', 'A', 'meteorologi', '1238', 'chars', 'Tornado', 'slams', 'Dallas', '4', 'killed', 'in', 'Arkansas', 'OklahomaDALLAS', 'A', 'tornado', 'tossed', 'trees', 'into', 'homes', 'tore', 'off', 'storefronts', 'and', 'downed', 'power', 'lines', 'but', 'killed', 'no', 'one', 'in', 'a', 'densely', 'populated', 'area', 'of', 'Dallas', 'leaving', 'Mayor', 'Eric', 'Johnson', 'to', 'declare', 'the', 'city', 'very', 'fortunate', 'to', 'be', 'assessing', 'only', 'property', 'damage', 'A', 'meteorolog']",DALLAS A tornado tossed tree into home tore off storefront and downed power line but killed no one in a densely populated area of Dallas leaving Mayor Eric Johnson to declare the city very fortunate to be assessing only property damage A meteorologi 1238 char Tornado slam Dallas 4 killed in Arkansas OklahomaDALLAS A tornado tossed tree into home tore off storefront and downed power line but killed no one in a densely populated area of Dallas leaving Mayor Eric Johnson to declare the city very fortunate to be assessing only property damage A meteorolog,dalla A tornado toss tree into home tore off storefront and down power line but kill no one in a dens popul area of dalla leav mayor eric johnson to declar the citi veri fortun to be assess onli properti damag A meteorolog 1238 char tornado slam dalla 4 kill in arkansa oklahomadalla A tornado toss tree into home tore off storefront and down power line but kill no one in a dens popul area of dalla leav mayor eric johnson to declar the citi veri fortun to be assess onli properti damag A meteorolog,"['assessing', 'downed', 'power', 'lines', 'killed', 'densely', 'populated', 'area', 'leaving', 'mayor', 'eric', 'johnson', 'meteorolog', '…', 'tornado', 'tossed', 'trees', 'fortunate', '”', 'oklahomadallas', '—', 'homes', 'meteorologi', '[+', '1238', 'chars', '4', 'storefronts', 'tore', 'dallas', 'one', 'declare', 'property', 'damage', 'arkansas', 'city', '“', 'slams']",1
21,10tv,"DALLAS (AP) A tornado tore homes and businesses apart in a densely populated area of Dallas, where only minor injuries were reported, but four people were killed in Arkansas and Oklahoma as a late-night series of storms caused chaos in several states.
Radar … [+4946 chars]","DALLAS (AP) — A tornado tore homes and businesses apart in a densely populated area of Dallas, where only minor injuries were reported, but four people were killed in Arkansas and Oklahoma as a late-night series of storms caused chaos in several states. Radar…",https://www.10tv.com/sites/default/files/styles/article_image/public/2019/10/21/texas_tornado_102019.jpg?itok=tGGMf1tK,2019-10-21,10tv.com,"Tornado slams Dallas; 4 killed in Arkansas, Oklahoma",https://www.10tv.com/article/tornado-slams-dallas-4-killed-arkansas-oklahoma-2019-oct,"DALLAS (AP) A tornado tore homes and businesses apart in a densely populated area of Dallas, where only minor injuries were reported, but four people were killed in Arkansas and Oklahoma as a late-night series of storms caused chaos in several states.
Radar … [+4946 chars]Tornado slams Dallas; 4 killed in Arkansas, OklahomaDALLAS (AP) — A tornado tore homes and businesses apart in a densely populated area of Dallas, where only minor injuries were reported, but four people were killed in Arkansas and Oklahoma as a late-night series of storms caused chaos in several states. Radar…","['DALLAS', 'AP', 'A', 'tornado', 'tore', 'homes', 'and', 'businesses', 'apart', 'in', 'a', 'densely', 'populated', 'area', 'of', 'Dallas', 'where', 'only', 'minor', 'injuries', 'were', 'reported', 'but', 'four', 'people', 'were', 'killed', 'in', 'Arkansas', 'and', 'Oklahoma', 'as', 'a', 'late', 'night', 'series', 'of', 'storms', 'caused', 'chaos', 'in', 'several', 'states', 'Radar', '4946', 'chars', 'Tornado', 'slams', 'Dallas', '4', 'killed', 'in', 'Arkansas', 'OklahomaDALLAS', 'AP', 'A', 'tornado', 'tore', 'homes', 'and', 'businesses', 'apart', 'in', 'a', 'densely', 'populated', 'area', 'of', 'Dallas', 'where', 'only', 'minor', 'injuries', 'were', 'reported', 'but', 'four', 'people', 'were', 'killed', 'in', 'Arkansas', 'and', 'Oklahoma', 'as', 'a', 'late', 'night', 'series', 'of', 'storms', 'caused', 'chaos', 'in', 'several', 'states', 'Radar']",DALLAS AP A tornado tore home and business apart in a densely populated area of Dallas where only minor injury were reported but four people were killed in Arkansas and Oklahoma a a late night series of storm caused chaos in several state Radar 4946 char Tornado slam Dallas 4 killed in Arkansas OklahomaDALLAS AP A tornado tore home and business apart in a densely populated area of Dallas where only minor injury were reported but four people were killed in Arkansas and Oklahoma a a late night series of storm caused chaos in several state Radar,dalla AP A tornado tore home and busi apart in a dens popul area of dalla where onli minor injuri were report but four peopl were kill in arkansa and oklahoma as a late night seri of storm caus chao in sever state radar 4946 char tornado slam dalla 4 kill in arkansa oklahomadalla AP A tornado tore home and busi apart in a dens popul area of dalla where onli minor injuri were report but four peopl were kill in arkansa and oklahoma as a late night seri of storm caus chao in sever state radar,"['oklahoma', 'late', 'ap', 'killed', 'storms', 'caused', 'chaos', 'oklahomadallas', 'densely', 'populated', 'area', 'tornado', 'tore', 'homes', 'radar', '…', '[+', '4946', 'chars', 'minor', 'injuries', 'four', 'people', '4', 'reported', 'dallas', 'night', 'series', '—', 'arkansas', 'businesses', 'apart', 'several', 'states', 'slams']",1
128,Al Jazeera,"A tornado tossed trees into homes, tore off storefronts and downed power lines but killed no one in a densely populated area of Dallas, leaving Mayor Eric Johnson to declare the city ""very fortunate"" to be assessing only property damage.
The late-night storm… [+2369 chars]","Powerful storm causes property damage in Dallas, Texas, and kills four people in Arkansas and Oklahoma.",https://www.aljazeera.com/mritems/Images/2019/10/22/f7f63332dd6c43e59c0beb47b5ba1f5e_18.jpg,2019-10-22,Al Jazeera English,"Tornado slams Dallas; 4 killed in Arkansas, Oklahoma",https://www.aljazeera.com/news/2019/10/tornado-slams-dallas-4-killed-arkansas-oklahoma-191022080923728.html,"A tornado tossed trees into homes, tore off storefronts and downed power lines but killed no one in a densely populated area of Dallas, leaving Mayor Eric Johnson to declare the city ""very fortunate"" to be assessing only property damage.
The late-night storm… [+2369 chars]Tornado slams Dallas; 4 killed in Arkansas, OklahomaPowerful storm causes property damage in Dallas, Texas, and kills four people in Arkansas and Oklahoma.","['A', 'tornado', 'tossed', 'trees', 'into', 'homes', 'tore', 'off', 'storefronts', 'and', 'downed', 'power', 'lines', 'but', 'killed', 'no', 'one', 'in', 'a', 'densely', 'populated', 'area', 'of', 'Dallas', 'leaving', 'Mayor', 'Eric', 'Johnson', 'to', 'declare', 'the', 'city', 'very', 'fortunate', 'to', 'be', 'assessing', 'only', 'property', 'damage', 'The', 'late', 'night', 'storm', '2369', 'chars', 'Tornado', 'slams', 'Dallas', '4', 'killed', 'in', 'Arkansas', 'OklahomaPowerful', 'storm', 'causes', 'property', 'damage', 'in', 'Dallas', 'Texas', 'and', 'kills', 'four', 'people', 'in', 'Arkansas', 'and', 'Oklahoma']",A tornado tossed tree into home tore off storefront and downed power line but killed no one in a densely populated area of Dallas leaving Mayor Eric Johnson to declare the city very fortunate to be assessing only property damage The late night storm 2369 char Tornado slam Dallas 4 killed in Arkansas OklahomaPowerful storm cause property damage in Dallas Texas and kill four people in Arkansas and Oklahoma,A tornado toss tree into home tore off storefront and down power line but kill no one in a dens popul area of dalla leav mayor eric johnson to declar the citi veri fortun to be assess onli properti damag the late night storm 2369 char tornado slam dalla 4 kill in arkansa oklahomapow storm caus properti damag in dalla texa and kill four peopl in arkansa and oklahoma,"['kills', 'four', 'people', 'oklahoma', 'assessing', 'late', 'downed', 'power', 'lines', 'killed', 'densely', 'populated', 'area', 'leaving', 'mayor', 'eric', 'johnson', 'tornado', 'tossed', 'trees', 'homes', 'oklahomapowerful', 'storm', 'causes', 'property', 'damage', '4', 'storefronts', 'tore', 'city', 'dallas', 'one', 'declare', 'arkansas', 'fortunate', 'night', '…', '[+', '2369', 'chars', 'slams', 'texas']",1
147,stripes,"DALLAS A tornado tossed trees into homes, tore off storefronts and downed power lines but killed no one in a densely populated area of Dallas, leaving Mayor Eric Johnson to declare the city ""very fortunate"" to be assessing only property damage.
A meteorologi… [+5127 chars]","The Storm Prediction Center said severe thunderstorms could continue through Monday night along the Gulf Coast from southeastern Louisiana to the Florida Panhandle, with damaging winds and a couple of tornadoes possible.",https://www.stripes.com/polopoly_fs/1.604079.1571717283!/image/image.jpg_gen/derivatives/landscape_490/image.jpg,2019-10-22,Stripes.com,"Tornado slams Dallas; 4 killed in Arkansas, Oklahoma",https://www.stripes.com/news/us/tornado-slams-dallas-4-killed-in-arkansas-oklahoma-1.604076?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+starsandstripes%2Fgeneral+%28Stars+and+Stripes%29,"DALLAS A tornado tossed trees into homes, tore off storefronts and downed power lines but killed no one in a densely populated area of Dallas, leaving Mayor Eric Johnson to declare the city ""very fortunate"" to be assessing only property damage.
A meteorologi… [+5127 chars]Tornado slams Dallas; 4 killed in Arkansas, OklahomaThe Storm Prediction Center said severe thunderstorms could continue through Monday night along the Gulf Coast from southeastern Louisiana to the Florida Panhandle, with damaging winds and a couple of tornadoes possible.","['DALLAS', 'A', 'tornado', 'tossed', 'trees', 'into', 'homes', 'tore', 'off', 'storefronts', 'and', 'downed', 'power', 'lines', 'but', 'killed', 'no', 'one', 'in', 'a', 'densely', 'populated', 'area', 'of', 'Dallas', 'leaving', 'Mayor', 'Eric', 'Johnson', 'to', 'declare', 'the', 'city', 'very', 'fortunate', 'to', 'be', 'assessing', 'only', 'property', 'damage', 'A', 'meteorologi', '5127', 'chars', 'Tornado', 'slams', 'Dallas', '4', 'killed', 'in', 'Arkansas', 'OklahomaThe', 'Storm', 'Prediction', 'Center', 'said', 'severe', 'thunderstorms', 'could', 'continue', 'through', 'Monday', 'night', 'along', 'the', 'Gulf', 'Coast', 'from', 'southeastern', 'Louisiana', 'to', 'the', 'Florida', 'Panhandle', 'with', 'damaging', 'winds', 'and', 'a', 'couple', 'of', 'tornadoes', 'possible']",DALLAS A tornado tossed tree into home tore off storefront and downed power line but killed no one in a densely populated area of Dallas leaving Mayor Eric Johnson to declare the city very fortunate to be assessing only property damage A meteorologi 5127 char Tornado slam Dallas 4 killed in Arkansas OklahomaThe Storm Prediction Center said severe thunderstorm could continue through Monday night along the Gulf Coast from southeastern Louisiana to the Florida Panhandle with damaging wind and a couple of tornado possible,dalla A tornado toss tree into home tore off storefront and down power line but kill no one in a dens popul area of dalla leav mayor eric johnson to declar the citi veri fortun to be assess onli properti damag A meteorolog 5127 char tornado slam dalla 4 kill in arkansa oklahomath storm predict center said sever thunderstorm could continu through monday night along the gulf coast from southeastern louisiana to the florida panhandl with damag wind and a coupl of tornado possibl,"['assessing', 'downed', 'power', 'lines', 'killed', 'gulf', 'coast', 'densely', 'populated', 'area', 'leaving', 'mayor', 'eric', 'johnson', 'florida', 'panhandle', 'couple', 'tornado', 'tossed', 'trees', 'damaging', 'winds', 'homes', 'tornadoes', 'possible', '4', 'storefronts', 'tore', 'city', 'dallas', 'southeastern', 'louisiana', 'one', 'declare', 'property', 'damage', 'arkansas', 'monday', 'night', 'along', 'fortunate', 'meteorologi', '…', '[+', '5127', 'chars', 'oklahomathe', 'storm', 'prediction', 'center', 'said', 'severe', 'thunderstorms', 'could', 'continue', 'slams']",1
1633,Pelmorex Weather Networks Inc,"Monday, July 1st 2019, 6:48 pm - Those storms damaged several campers and injured three people.
Environment Canada has confirmed at least two tornadoes from the thunderstorms that struck a provincial park in northern Saskatchewan Tuesday, damaging several ca… [+1492 chars]","Second tornado confirmed from weekend Saskatchewan storms The Weather Network Tornado warnings ended, thunderstorm warnings remain in Sask. CTV News 2 tornadoes touch down in Saskatchewan provincial park Global News Cleanup continues after 2 tornadoes hit Sas…",https://www.theweathernetwork.com//images.twnmm.com/c55i45ef3o2a/2hNBtG3t0CTjuFcTL3gbRi/a75616d8cb36e3b489aae88d804285ae/Tornado_confirmed_thumbnail.JPG,2019-07-01,engadget,Second tornado confirmed from weekend Saskatchewan storms - The Weather Network,https://www.theweathernetwork.com/ca/news/article/environment-canada-confirms-two-saskatchewan-tornadoes-meadow-lake,"Monday, July 1st 2019, 6:48 pm - Those storms damaged several campers and injured three people.
Environment Canada has confirmed at least two tornadoes from the thunderstorms that struck a provincial park in northern Saskatchewan Tuesday, damaging several ca… [+1492 chars]Second tornado confirmed from weekend Saskatchewan storms - The Weather NetworkSecond tornado confirmed from weekend Saskatchewan storms The Weather Network Tornado warnings ended, thunderstorm warnings remain in Sask. CTV News 2 tornadoes touch down in Saskatchewan provincial park Global News Cleanup continues after 2 tornadoes hit Sas…","['Monday', 'July', '1st', '2019', '6', '48', 'pm', 'Those', 'storms', 'damaged', 'several', 'campers', 'and', 'injured', 'three', 'people', 'Environment', 'Canada', 'has', 'confirmed', 'at', 'least', 'two', 'tornadoes', 'from', 'the', 'thunderstorms', 'that', 'struck', 'a', 'provincial', 'park', 'in', 'northern', 'Saskatchewan', 'Tuesday', 'damaging', 'several', 'ca', '1492', 'chars', 'Second', 'tornado', 'confirmed', 'from', 'weekend', 'Saskatchewan', 'storms', 'The', 'Weather', 'NetworkSecond', 'tornado', 'confirmed', 'from', 'weekend', 'Saskatchewan', 'storms', 'The', 'Weather', 'Network', 'Tornado', 'warnings', 'ended', 'thunderstorm', 'warnings', 'remain', 'in', 'Sask', 'CTV', 'News', '2', 'tornadoes', 'touch', 'down', 'in', 'Saskatchewan', 'provincial', 'park', 'Global', 'News', 'Cleanup', 'continues', 'after', '2', 'tornadoes', 'hit', 'Sas']",Monday July 1st 2019 6 48 pm Those storm damaged several camper and injured three people Environment Canada ha confirmed at least two tornado from the thunderstorm that struck a provincial park in northern Saskatchewan Tuesday damaging several ca 1492 char Second tornado confirmed from weekend Saskatchewan storm The Weather NetworkSecond tornado confirmed from weekend Saskatchewan storm The Weather Network Tornado warning ended thunderstorm warning remain in Sask CTV News 2 tornado touch down in Saskatchewan provincial park Global News Cleanup continues after 2 tornado hit Sas,monday juli 1st 2019 6 48 pm those storm damag sever camper and injur three peopl environ canada ha confirm at least two tornado from the thunderstorm that struck a provinci park in northern saskatchewan tuesday damag sever ca 1492 char second tornado confirm from weekend saskatchewan storm the weather networksecond tornado confirm from weekend saskatchewan storm the weather network tornado warn end thunderstorm warn remain in sask ctv new 2 tornado touch down in saskatchewan provinci park global new cleanup continu after 2 tornado hit sa,"['injured', 'three', 'people', 'least', 'two', 'tornadoes', 'thunderstorms', '6', 'weather', 'network', 'tornado', 'warnings', 'ended', 'second', 'confirmed', 'environment', 'canada', 'july', '1st', '2019', 'saskatchewan', 'provincial', 'park', 'global', 'news', 'cleanup', 'continues', 'northern', 'tuesday', 'storms', 'damaged', 'several', 'campers', 'struck', 'damaging', 'ca', '…', '[+', '1492', 'chars', '2', 'hit', 'sas', '48', 'pm', 'monday', 'sask', 'weekend', 'ctv', 'touch', 'thunderstorm', 'remain', 'networksecond']",1
1654,STAFF REPORTS,"Tornadoes touched down briefly at least twice Friday evening in south central Minnesota, according to the National Weather Service in Chanhassen.
There were no early reports of injuries or major damage. The twisters were part of a storm system that featured … [+938 chars]",A drier weather pattern will move in this weekend.,http://stmedia.stimg.co/ows_156237157391999.jpg?h=630&w=1200&fit=crop&bg=999&crop=faces,2019-07-06,,Brief tornado touchdowns reported in south-central Minnesota,http://www.startribune.com/brief-tornado-touchdowns-reported-in-south-central-minnesota/512282632/,"Tornadoes touched down briefly at least twice Friday evening in south central Minnesota, according to the National Weather Service in Chanhassen.
There were no early reports of injuries or major damage. The twisters were part of a storm system that featured … [+938 chars]Brief tornado touchdowns reported in south-central MinnesotaA drier weather pattern will move in this weekend.","['Tornadoes', 'touched', 'down', 'briefly', 'at', 'least', 'twice', 'Friday', 'evening', 'in', 'south', 'central', 'Minnesota', 'according', 'to', 'the', 'National', 'Weather', 'Service', 'in', 'Chanhassen', 'There', 'were', 'no', 'early', 'reports', 'of', 'injuries', 'or', 'major', 'damage', 'The', 'twisters', 'were', 'part', 'of', 'a', 'storm', 'system', 'that', 'featured', '938', 'chars', 'Brief', 'tornado', 'touchdowns', 'reported', 'in', 'south', 'central', 'MinnesotaA', 'drier', 'weather', 'pattern', 'will', 'move', 'in', 'this', 'weekend']",Tornadoes touched down briefly at least twice Friday evening in south central Minnesota according to the National Weather Service in Chanhassen There were no early report of injury or major damage The twister were part of a storm system that featured 938 char Brief tornado touchdown reported in south central MinnesotaA drier weather pattern will move in this weekend,tornado touch down briefli at least twice friday even in south central minnesota accord to the nation weather servic in chanhassen there were no earli report of injuri or major damag the twister were part of a storm system that featur 938 char brief tornado touchdown report in south central minnesotaa drier weather pattern will move in thi weekend,"['least', 'twice', 'friday', 'evening', 'featured', '…', '[+', '938', 'chars', 'early', 'reports', 'weekend', 'according', 'south', 'central', 'minnesota', 'move', 'major', 'damage', 'chanhassen', 'briefly', 'brief', 'tornado', 'touchdowns', 'reported', 'national', 'weather', 'service', 'storm', 'system', 'injuries', 'tornadoes', 'touched', 'part', 'twisters', 'minnesotaa', 'drier', 'pattern']",1
1697,mprnews,"The risk for severe weather Friday afternoon and evening has increased over portions of Minnesota and Wisconsin:
The @NWSSPC has updated the thunderstorm outlook for today to indicate a moderate risk of severe storms for much of the area. Please be sure to m… [+1963 chars]","One-two weather punch: Dangerous heat, possible severe storms Friday Minnesota Public Radio News Storms bring 90-mph winds, large hail, tornadoes to central and northeastern Wisconsin Milwaukee Journal Sentinel Tornado watch issued for large area of Minnesota…",https://img.apmcdn.org/be34240765617396281b90e9ec950314f95f1b54/uncropped/73b239-20130716-20130716soccer06.jpg,2019-07-19,,"One-two weather punch: Dangerous heat, possible severe storms Friday - Minnesota Public Radio News",https://www.mprnews.org/story/2019/07/19/not-only-will-it-be-dangerously-hot-friday-severe-storms-are-also-possible,"The risk for severe weather Friday afternoon and evening has increased over portions of Minnesota and Wisconsin:
The @NWSSPC has updated the thunderstorm outlook for today to indicate a moderate risk of severe storms for much of the area. Please be sure to m… [+1963 chars]One-two weather punch: Dangerous heat, possible severe storms Friday - Minnesota Public Radio NewsOne-two weather punch: Dangerous heat, possible severe storms Friday Minnesota Public Radio News Storms bring 90-mph winds, large hail, tornadoes to central and northeastern Wisconsin Milwaukee Journal Sentinel Tornado watch issued for large area of Minnesota…","['The', 'risk', 'for', 'severe', 'weather', 'Friday', 'afternoon', 'and', 'evening', 'has', 'increased', 'over', 'portions', 'of', 'Minnesota', 'and', 'Wisconsin', 'The', 'NWSSPC', 'has', 'updated', 'the', 'thunderstorm', 'outlook', 'for', 'today', 'to', 'indicate', 'a', 'moderate', 'risk', 'of', 'severe', 'storms', 'for', 'much', 'of', 'the', 'area', 'Please', 'be', 'sure', 'to', 'm', '1963', 'chars', 'One', 'two', 'weather', 'punch', 'Dangerous', 'heat', 'possible', 'severe', 'storms', 'Friday', 'Minnesota', 'Public', 'Radio', 'NewsOne', 'two', 'weather', 'punch', 'Dangerous', 'heat', 'possible', 'severe', 'storms', 'Friday', 'Minnesota', 'Public', 'Radio', 'News', 'Storms', 'bring', '90', 'mph', 'winds', 'large', 'hail', 'tornadoes', 'to', 'central', 'and', 'northeastern', 'Wisconsin', 'Milwaukee', 'Journal', 'Sentinel', 'Tornado', 'watch', 'issued', 'for', 'large', 'area', 'of', 'Minnesota']",The risk for severe weather Friday afternoon and evening ha increased over portion of Minnesota and Wisconsin The NWSSPC ha updated the thunderstorm outlook for today to indicate a moderate risk of severe storm for much of the area Please be sure to m 1963 char One two weather punch Dangerous heat possible severe storm Friday Minnesota Public Radio NewsOne two weather punch Dangerous heat possible severe storm Friday Minnesota Public Radio News Storms bring 90 mph wind large hail tornado to central and northeastern Wisconsin Milwaukee Journal Sentinel Tornado watch issued for large area of Minnesota,the risk for sever weather friday afternoon and even ha increas over portion of minnesota and wisconsin the nwsspc ha updat the thunderstorm outlook for today to indic a moder risk of sever storm for much of the area pleas be sure to m 1963 char one two weather punch danger heat possibl sever storm friday minnesota public radio newson two weather punch danger heat possibl sever storm friday minnesota public radio new storm bring 90 mph wind larg hail tornado to central and northeastern wisconsin milwauke journal sentinel tornado watch issu for larg area of minnesota,"['increased', 'indicate', 'large', 'hail', 'portions', 'central', 'severe', 'storms', 'minnesota', 'northeastern', 'wisconsin', 'milwaukee', 'journal', 'sentinel', 'tornado', 'watch', 'issued', 'risk', 'evening', 'area', '…', '[+', '1963', 'chars', 'please', 'tornadoes', 'mph', 'winds', 'one', 'dangerous', 'heat', 'moderate', 'today', 'weather', 'friday', 'afternoon', 'public', 'radio', 'newsone', 'much', 'two', 'punch', 'nwsspc', 'sure', 'thunderstorm', 'outlook', 'possible', 'updated', 'news', 'bring', '90']",1
