title,author,source,description,content,pub_date,url,urlToImage
A 3.5 magnitude earthquake hit south of San Francisco,Rosalie Chan,Business Insider,"A 3.5 magnitude earthquake hit Colma, which is south of San Francisco, on Saturday morning. The earthquake had a depth of 4.7 miles, and there have been no reports of damage from the earthquake so far. According to experts, California has not experienced a ma…","Residents of San Francisco and its surrounding area woke up Saturday morning to a 3.6 magnitude earthquake.
The earthquake hit just south of San Francisco at 8:41 a.m. local time, according to the US Geological Survey. The epicenter was just west of Colma, w… [+673 chars]",2019-10-05,https://www.businessinsider.com/san-francisco-earthquake-colma-36-magnitude-2019-10,https://image.businessinsider.com/5c61c97e2628981a7979fcf2?width=1200&format=jpeg
Shaky California turns on its long-awaited quake alert app,Mark Kaufman,Mashable,"Quakes can't be predicted. But unassuming Californians can now be alerted that a significant temblor has hit and it's time to promptly ""Drop, Cover, and Hold on"" before their world starts shaking. On Thursday, California Governor Gavin Newsom announced the st…","Quakes can't be predicted. But unassuming Californians can now be alerted that a significant temblor has hit and it's time to promptly ""Drop, Cover, and Hold On"" before their world starts shaking.
On Thursday, California Governor Gavin Newsom announced the s… [+4923 chars]",2019-10-17,https://mashable.com/article/california-earthquake-app-early-warning-alert/,https://mondrian.mashable.com/2019%252F10%252F17%252F3c%252F31f0cd7bbf2b4f6e96bc55a90feb09e9.2e817.jpg%252F1200x630.jpg?signature=KfLnK_3FFRUgk3_sqYa4lITCbn8=
"After Typhoon, Dramatic Rescues of Residents Trapped by Floods",Motoko Rich,The New York Times,"Japan, which prides itself on its robust infrastructure and disaster preparedness, was humbled by the hard hit that hurt even major metropolitan areas.","In Kawasaki, an industrial city between Tokyo and Yokohama where about 900,000 people had been advised to evacuate on Saturday, many areas were left underwater. In Fukushima, which was hit by the nuclear meltdown that followed an earthquake and tsunami in 201… [+641 chars]",2019-10-13,https://www.nytimes.com/2019/10/13/world/asia/japan-typhoon-rescue.html,https://static01.nyt.com/images/2019/10/13/world/13japan-recovery2sub/13japan-recovery2sub-facebookJumbo.jpg
Is 'The Big One' coming? Dangerous US fault starts moving - Stuff.co.nz,,Stuff.co.nz,Is 'The Big One' coming? Dangerous US fault starts moving Stuff.co.nz A Powerful California Fault Line Is Moving for the First Time on Record VICE Major fault 'awaken' by series of Ridgecrest earthquakes ABC 10 News The 'Big One' Could Be Coming: Ridgecrest E…,"A US fault that could produce a magnitude 8.0 earthquake has begun sliding, according to a study published in the journal Science.
 The activity followed the Ridgecrest earthquake sequence over the US summer, researchers said.
 But the unprecedented movemen… [+2802 chars]",2019-10-18,https://i.stuff.co.nz/world/americas/116710909/is-the-big-one-coming-dangerous-us-fault-starts-moving,https://resources.stuff.co.nz/content/dam/images/1/x/h/i/u/1/image.related.StuffLandscapeSixteenByNine.1420x800.1xhipp.png/1571385072461.jpg
A Powerful California Fault Line Is Moving for the First Time on Record - VICE,Samantha Cole,Vice News,A Powerful California Fault Line Is Moving for the First Time on Record VICE Major fault 'awaken' by series of Ridgecrest earthquakes ABC 10 News California: July earthquake caused fault to move for first time on record The Guardian The 'Big One' Could Be Com…,"A California fault capable of producing devastating earthquakes is moving for the first time on record.
 In a new study published on Thursday in the journal Science, Caltech scientists alongside NASA's Jet Propulsion Laboratory found that a portion of the 16… [+1571 chars]",2019-10-18,https://www.vice.com/en_ca/article/wjwb7x/a-powerful-california-fault-line-is-moving-for-the-first-time-on-record,"https://video-images.vice.com/articles/5da9e188fbf646000a37dfa8/lede/1571414411081-GettyImages-640372861.jpeg?crop=1xw:0.75xh;center,center&resize=1200:*"
Simple Seismic Sensor Makes Earthquake Detection Personal,Dan Maloney,Hackaday.com,"When an earthquake strikes, it’s usually hard to miss. At least that’s the case with the big ones; the dozens or hundreds of little quakes that go largely unnoticed every day are interesting too, and make sense to track. That’s usually left to the professiona…","When an earthquake strikes, it’s usually hard to miss. At least that’s the case with the big ones; the dozens or hundreds of little quakes that go largely unnoticed every day are interesting too, and make sense to track. That’s usually left to the professiona… [+1525 chars]",2019-10-29,https://hackaday.com/2019/10/28/simple-seismic-sensor-makes-earthquake-detection-personal/,https://hackaday.com/wp-content/uploads/2019/10/M7.1-Searles-Valley-CA-2019-07-05-aftershocks.png
Magnitude 3.6 Earthquake Awakens Bay Area Californians,Madeleine Carlisle,Time,The earthquake hit at 8:41 a.m. PCT. There have been no reported injuries.,,2019-10-05,https://time.com/5693570/earthquake-san-francisco-october-5/,https://timedotcom.files.wordpress.com/2019/10/earthquake-san-francisco-october-5.jpg?quality=85&w=1024&h=628&crop=1
"Strong quake in Philippines kills one, injures dozens",By Neil Jerome Morales and Peter Blaza,Yahoo.com,"A magnitude 6.4 earthquake struck the southern Philippines on Wednesday, killing at least one child and injuring more than two dozen other people. ""Our hospital chief reported that a child died because of the earthquake,"" Reuel Limbungan, mayor of Tulunan tow…","By Neil Jerome Morales and Peter Blaza
MANILA (Reuters) - A magnitude 6.4 earthquake struck the southern Philippines on Wednesday, killing at least one child and injuring more than two dozen other people.
Government authorities were starting to receive repo… [+2193 chars]",2019-10-16,https://news.yahoo.com/magnitude-6-4-earthquake-philippines-120249049.html,https://s.yimg.com/ny/api/res/1.2/V4ekd5iCFqWvCtsG3cv9Pg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTY3NDtoPTkwMA--/https://s.yimg.com/uu/api/res/1.2/.h8G4w8CnY38Mh7pEiSxOw--~B/aD00NTA7dz0zMzc7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en-US/reuters.com/c502642270dba8f393fe6e166cbe537d
Japan Fights Floods in Wake of Typhoon Hagibis,Motoko Rich and Ben Dooley,The New York Times,"At least 10 people were killed in the super typhoon, the largest storm to strike Japan in decades.","At least two deaths and several landslides occurred even before the typhoon hit, and a 5.7-magnitude earthquake of shook Chiba, east of Tokyo,Saturday evening just before the storm made landfall.
Authorities had expected that Hagibis could rival the Kanogawa… [+1369 chars]",2019-10-13,https://www.nytimes.com/2019/10/12/world/asia/japan-typhoon-hagibis-dead.html,https://static01.nyt.com/images/2019/10/13/us/13japan-typhoon1/13japan-typhoon1-facebookJumbo.jpg
A California fault capable of producing a magnitude 8 earthquake has started 'creeping.' It's not the only one.,Aria Bendix,Business Insider,"A new study warns that the Garlock fault, which runs through the Mojave Desert in southern California, has been moving for the first time on record. The fault is capable of producing a magnitude 8 earthquake. The researchers attributed this change to the Ridg…","At any moment, an earthquake of magnitude 6.7 or higher could ripple through California, leading infrastructure to topple, power to shut off, and buildings to collapse. Scientists expect to experience this ""Big One"" in their lifetimes — though they're not sur… [+4548 chars]",2019-10-19,https://www.businessinsider.com/california-fault-creep-the-big-one-2019-10,https://image.businessinsider.com/5da9f5644af90960ab4fe716?width=1200&format=jpeg
