,author,content,description,photo_url,pub_date,source,title,url,combined_text,tokens,lems,stems,keywords,final_list
7050,No author,"Lima, Peru -- A very powerful magnitude 7.5 earthquake struck southern Ecuador in the early hours of Friday close to the country's border with Peru, although no immediate reports of possible casualties or damage were available. The U.S. Geological Survey said the quake happened at 10:17 GMT 115 kilometers (71 miles) southeast of the town of Palora, in the Morona Santiago province, at a depth of 132 kilometers (82 miles).
The quake was felt in the Ecuadorean capital, Quito, and the coastal city of Guayaquil.
Peru's official geophysics institute said it registered two aftershocks of 6.06 and 6.6 magnitude in the 30 minutes that followed the first tremor.
Ecuador's President Lenin Moreno said on his official Twitter account that ""preliminary reports of the quakes near Macas (the provincial capital of Morona Santiago) don't show major damage.""
The quakes, he wrote, ""were felt all over the country.""
People posted video and images to social media after the quake.
A Major 7.7 #earthquake#Terremoto#Temblor near Palora #Ecuador right now 🚨 pic.twitter.com/PSLaF8Dkjb
— Teacher From PR 🇺🇸🇵🇷 (@MaestroDEPR) February 22, 2019
One of the first photos coming out of Ecuador shows structural damage following a magnitude-7.5 earthquake there (Photo: Radio La Voz) pic.twitter.com/t6Gyp3JyVM
— Matthew Keys (@MatthewKeysLive) February 22, 2019
A 7.8-magnitude earthquake that shook a central area of the Ecuadorean coast on April 16, 2016, killed more than 700 people, destroyed hundreds of houses and caused more than $3 billion of losses.",The U.S. Geological Survey says a very powerful magnitude 7.5 earthquake has struck eastern Ecuador close to its border with Peru,,2019-02-22,CBS News,Powerful 7.5-magnitude earthquake hits Ecuador,,"Lima, Peru -- A very powerful magnitude 7.5 earthquake struck southern Ecuador in the early hours of Friday close to the country's border with Peru, although no immediate reports of possible casualties or damage were available. The U.S. Geological Survey said the quake happened at 10:17 GMT 115 kilometers (71 miles) southeast of the town of Palora, in the Morona Santiago province, at a depth of 132 kilometers (82 miles).
The quake was felt in the Ecuadorean capital, Quito, and the coastal city of Guayaquil.
Peru's official geophysics institute said it registered two aftershocks of 6.06 and 6.6 magnitude in the 30 minutes that followed the first tremor.
Ecuador's President Lenin Moreno said on his official Twitter account that ""preliminary reports of the quakes near Macas (the provincial capital of Morona Santiago) don't show major damage.""
The quakes, he wrote, ""were felt all over the country.""
People posted video and images to social media after the quake.
A Major 7.7 #earthquake#Terremoto#Temblor near Palora #Ecuador right now 🚨 pic.twitter.com/PSLaF8Dkjb
— Teacher From PR 🇺🇸🇵🇷 (@MaestroDEPR) February 22, 2019
One of the first photos coming out of Ecuador shows structural damage following a magnitude-7.5 earthquake there (Photo: Radio La Voz) pic.twitter.com/t6Gyp3JyVM
— Matthew Keys (@MatthewKeysLive) February 22, 2019
A 7.8-magnitude earthquake that shook a central area of the Ecuadorean coast on April 16, 2016, killed more than 700 people, destroyed hundreds of houses and caused more than $3 billion of losses.Powerful 7.5-magnitude earthquake hits EcuadorThe U.S. Geological Survey says a very powerful magnitude 7.5 earthquake has struck eastern Ecuador close to its border with Peru","['Lima', 'Peru', 'A', 'very', 'powerful', 'magnitude', '7', '5', 'earthquake', 'struck', 'southern', 'Ecuador', 'in', 'the', 'early', 'hours', 'of', 'Friday', 'close', 'to', 'the', 'country', 's', 'border', 'with', 'Peru', 'although', 'no', 'immediate', 'reports', 'of', 'possible', 'casualties', 'or', 'damage', 'were', 'available', 'The', 'U', 'S', 'Geological', 'Survey', 'said', 'the', 'quake', 'happened', 'at', '10', '17', 'GMT', '115', 'kilometers', '71', 'miles', 'southeast', 'of', 'the', 'town', 'of', 'Palora', 'in', 'the', 'Morona', 'Santiago', 'province', 'at', 'a', 'depth', 'of', '132', 'kilometers', '82', 'miles', 'The', 'quake', 'was', 'felt', 'in', 'the', 'Ecuadorean', 'capital', 'Quito', 'and', 'the', 'coastal', 'city', 'of', 'Guayaquil', 'Peru', 's', 'official', 'geophysics', 'institute', 'said', 'it', 'registered', 'two', 'aftershocks', 'of', '6', '06', 'and', '6', '6', 'magnitude', 'in', 'the', '30', 'minutes', 'that', 'followed', 'the', 'first', 'tremor', 'Ecuador', 's', 'President', 'Lenin', 'Moreno', 'said', 'on', 'his', 'official', 'Twitter', 'account', 'that', 'preliminary', 'reports', 'of', 'the', 'quakes', 'near', 'Macas', 'the', 'provincial', 'capital', 'of', 'Morona', 'Santiago', 'don', 't', 'show', 'major', 'damage', 'The', 'quakes', 'he', 'wrote', 'were', 'felt', 'all', 'over', 'the', 'country', 'People', 'posted', 'video', 'and', 'images', 'to', 'social', 'media', 'after', 'the', 'quake', 'A', 'Major', '7', '7', 'earthquake', 'Terremoto', 'Temblor', 'near', 'Palora', 'Ecuador', 'right', 'now', 'pic', 'twitter', 'com', 'PSLaF8Dkjb', 'Teacher', 'From', 'PR', 'MaestroDEPR', 'February', '22', '2019', 'One', 'of', 'the', 'first', 'photos', 'coming', 'out', 'of', 'Ecuador', 'shows', 'structural', 'damage', 'following', 'a', 'magnitude', '7', '5', 'earthquake', 'there', 'Photo', 'Radio', 'La', 'Voz', 'pic', 'twitter', 'com', 't6Gyp3JyVM', 'Matthew', 'Keys', 'MatthewKeysLive', 'February', '22', '2019', 'A', '7', '8', 'magnitude', 'earthquake', 'that', 'shook', 'a', 'central', 'area', 'of', 'the', 'Ecuadorean', 'coast', 'on', 'April', '16', '2016', 'killed', 'more', 'than', '700', 'people', 'destroyed', 'hundreds', 'of', 'houses', 'and', 'caused', 'more', 'than', '3', 'billion', 'of', 'losses', 'Powerful', '7', '5', 'magnitude', 'earthquake', 'hits', 'EcuadorThe', 'U', 'S', 'Geological', 'Survey', 'says', 'a', 'very', 'powerful', 'magnitude', '7', '5', 'earthquake', 'has', 'struck', 'eastern', 'Ecuador', 'close', 'to', 'its', 'border', 'with', 'Peru']",Lima Peru A very powerful magnitude 7 5 earthquake struck southern Ecuador in the early hour of Friday close to the country s border with Peru although no immediate report of possible casualty or damage were available The U S Geological Survey said the quake happened at 10 17 GMT 115 kilometer 71 mile southeast of the town of Palora in the Morona Santiago province at a depth of 132 kilometer 82 mile The quake wa felt in the Ecuadorean capital Quito and the coastal city of Guayaquil Peru s official geophysics institute said it registered two aftershock of 6 06 and 6 6 magnitude in the 30 minute that followed the first tremor Ecuador s President Lenin Moreno said on his official Twitter account that preliminary report of the quake near Macas the provincial capital of Morona Santiago don t show major damage The quake he wrote were felt all over the country People posted video and image to social medium after the quake A Major 7 7 earthquake Terremoto Temblor near Palora Ecuador right now pic twitter com PSLaF8Dkjb Teacher From PR MaestroDEPR February 22 2019 One of the first photo coming out of Ecuador show structural damage following a magnitude 7 5 earthquake there Photo Radio La Voz pic twitter com t6Gyp3JyVM Matthew Keys MatthewKeysLive February 22 2019 A 7 8 magnitude earthquake that shook a central area of the Ecuadorean coast on April 16 2016 killed more than 700 people destroyed hundred of house and caused more than 3 billion of loss Powerful 7 5 magnitude earthquake hit EcuadorThe U S Geological Survey say a very powerful magnitude 7 5 earthquake ha struck eastern Ecuador close to it border with Peru,lima peru A veri power magnitud 7 5 earthquak struck southern ecuador in the earli hour of friday close to the countri s border with peru although no immedi report of possibl casualti or damag were avail the U S geolog survey said the quak happen at 10 17 gmt 115 kilomet 71 mile southeast of the town of palora in the morona santiago provinc at a depth of 132 kilomet 82 mile the quak wa felt in the ecuadorean capit quito and the coastal citi of guayaquil peru s offici geophys institut said it regist two aftershock of 6 06 and 6 6 magnitud in the 30 minut that follow the first tremor ecuador s presid lenin moreno said on hi offici twitter account that preliminari report of the quak near maca the provinci capit of morona santiago don t show major damag the quak he wrote were felt all over the countri peopl post video and imag to social media after the quak A major 7 7 earthquak terremoto temblor near palora ecuador right now pic twitter com pslaf8dkjb teacher from PR maestrodepr februari 22 2019 one of the first photo come out of ecuador show structur damag follow a magnitud 7 5 earthquak there photo radio La voz pic twitter com t6gyp3jyvm matthew key matthewkeysl februari 22 2019 A 7 8 magnitud earthquak that shook a central area of the ecuadorean coast on april 16 2016 kill more than 700 peopl destroy hundr of hous and caus more than 3 billion of loss power 7 5 magnitud earthquak hit ecuadorth U S geolog survey say a veri power magnitud 7 5 earthquak ha struck eastern ecuador close to it border with peru,"['border', 'killed', 'official', 'twitter', 'account', 'available', 'guayaquil', 'temblor', 'near', 'palora', 'caused', 'destroyed', 'hundreds', 'morona', 'santiago', 'pr', '🇺🇸🇵🇷', '(@', 'maestrodepr', 'terremoto', '6', 'magnitude', '17', 'gmt', '115', 'kilometers', 'southeast', 'social', 'media', 'images', '132', 'ecuadorean', 'capital', '700', 'people', 'early', 'hours', 'peru', 'u', '--', 'losses', 'earthquake', 'country', '2019', 'quakes', 'posted', 'video', '5', 'felt', '2016', 'geophysics', 'institute', 'said', 'friday', 'close', 'radio', 'la', 'voz', 'lima', 'geological', 'survey', 't6gyp3jyvm', '—', 'matthew', 'keys', 'matthewkeyslive', 'quito', 'april', '16', 'wrote', 'central', 'area', 'show', 'major', 'damage', '.""', '82', 'miles', ').', '06', '🚨', 'pic', 'provincial', 'one', 'followed', 'ecuador', 'right', 'depth', '8', 'powerful', '7', 'photo', 'quake', 'happened', 'struck', 'southern', '30', 'minutes', 'shook', 'pslaf8dkjb', 'teacher', 'says', 'registered', 'two', 'aftershocks', '3', 'billion', 'president', 'lenin', 'moreno', 'shows', 'structural', 'following', 'preliminary', 'reports', 'first', 'photos', 'coming', 'possible', 'casualties', 'province', '71', 'hits', 'ecuadorthe', 'although', '10', 'coastal', 'city', 'tremor', 'com', 'town', 'houses', 'coast', 'eastern', 'immediate', 'macas', 'february', '22']",1
7286,No author,"LONDON (AP) The U.S. Geological Survey says a very powerful magnitude 7.5 earthquake has struck eastern Ecuador close to its border with Peru.
The USGS said Friday morning's quake was near the town of Montalvo, Ecuador, at a depth of 132 kilometers (82 miles), nearly 17 kilometers (10 miles) south of the town of Montalvo.
There were no immediate reports of casualties.
Copyright 2019 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.",LONDON (AP) — The U.S. Geological Survey says a very powerful magnitude 7.5 earthquake has struck eastern Ecuador close to its border with Peru.,,2019-02-22,Associated Press,Powerful 7.5-magnitude quake hits eastern Ecuador,,"LONDON (AP) The U.S. Geological Survey says a very powerful magnitude 7.5 earthquake has struck eastern Ecuador close to its border with Peru.
The USGS said Friday morning's quake was near the town of Montalvo, Ecuador, at a depth of 132 kilometers (82 miles), nearly 17 kilometers (10 miles) south of the town of Montalvo.
There were no immediate reports of casualties.
Copyright 2019 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.Powerful 7.5-magnitude quake hits eastern EcuadorLONDON (AP) — The U.S. Geological Survey says a very powerful magnitude 7.5 earthquake has struck eastern Ecuador close to its border with Peru.","['LONDON', 'AP', 'The', 'U', 'S', 'Geological', 'Survey', 'says', 'a', 'very', 'powerful', 'magnitude', '7', '5', 'earthquake', 'has', 'struck', 'eastern', 'Ecuador', 'close', 'to', 'its', 'border', 'with', 'Peru', 'The', 'USGS', 'said', 'Friday', 'morning', 's', 'quake', 'was', 'near', 'the', 'town', 'of', 'Montalvo', 'Ecuador', 'at', 'a', 'depth', 'of', '132', 'kilometers', '82', 'miles', 'nearly', '17', 'kilometers', '10', 'miles', 'south', 'of', 'the', 'town', 'of', 'Montalvo', 'There', 'were', 'no', 'immediate', 'reports', 'of', 'casualties', 'Copyright', '2019', 'The', 'Associated', 'Press', 'All', 'rights', 'reserved', 'This', 'material', 'may', 'not', 'be', 'published', 'broadcast', 'rewritten', 'or', 'redistributed', 'Powerful', '7', '5', 'magnitude', 'quake', 'hits', 'eastern', 'EcuadorLONDON', 'AP', 'The', 'U', 'S', 'Geological', 'Survey', 'says', 'a', 'very', 'powerful', 'magnitude', '7', '5', 'earthquake', 'has', 'struck', 'eastern', 'Ecuador', 'close', 'to', 'its', 'border', 'with', 'Peru']",LONDON AP The U S Geological Survey say a very powerful magnitude 7 5 earthquake ha struck eastern Ecuador close to it border with Peru The USGS said Friday morning s quake wa near the town of Montalvo Ecuador at a depth of 132 kilometer 82 mile nearly 17 kilometer 10 mile south of the town of Montalvo There were no immediate report of casualty Copyright 2019 The Associated Press All right reserved This material may not be published broadcast rewritten or redistributed Powerful 7 5 magnitude quake hit eastern EcuadorLONDON AP The U S Geological Survey say a very powerful magnitude 7 5 earthquake ha struck eastern Ecuador close to it border with Peru,london AP the U S geolog survey say a veri power magnitud 7 5 earthquak ha struck eastern ecuador close to it border with peru the usg said friday morn s quak wa near the town of montalvo ecuador at a depth of 132 kilomet 82 mile nearli 17 kilomet 10 mile south of the town of montalvo there were no immedi report of casualti copyright 2019 the associ press all right reserv thi materi may not be publish broadcast rewritten or redistribut power 7 5 magnitud quak hit eastern ecuadorlondon AP the U S geolog survey say a veri power magnitud 7 5 earthquak ha struck eastern ecuador close to it border with peru,"['border', 'redistributed', 'ap', 'casualties', 'magnitude', 'quake', 'hits', 'eastern', 'ecuadorlondon', 'montalvo', '5', 'earthquake', 'rights', 'reserved', 'depth', 'london', '82', 'miles', '),', 'nearly', '17', 'kilometers', 'broadcast', 'rewritten', 'powerful', '7', 'usgs', 'said', 'friday', 'morning', 'published', 'associated', 'press', '10', 'material', 'may', 'south', 'near', 'geological', 'survey', 'says', 'ecuador', '132', '—', 'town', 'copyright', '2019', 'struck', 'close', 'immediate', 'reports', 'peru', 'u']",1
7383,No author,"A 7.5 magnitude earthquake struck near the border of Ecuador and Peru early Friday, the U.S. Geological Survey said.
The earthquake struck 71 miles east of Palora with a depth of 82 miles. Another 5.5 tremblor was then felt about 9 miles southeast of Duran.
THOUSANDS OF CATTLE FEARED DEAD AFTER DROUGHT-STRICKEN AUSTRALIA HIT BY INTENSE FLOODING
There were no immediate reports of damage or injuries.
Video on social media showed residents standing outside in the streets.
CLICK HERE TO GET THE FOX NEWS APP
Another person called the quake a “wake up call"" in a tweet showing their chandelier moving back and forth.","A 7.5 magnitude earthquake struck near the border of Ecuador and Peru early Friday, the U.S. Geological Survey said.",,2019-02-22,Fox News,"7.5 magnitude earthquake strikes near Ecuador-Peru border, USGS says",,"A 7.5 magnitude earthquake struck near the border of Ecuador and Peru early Friday, the U.S. Geological Survey said.
The earthquake struck 71 miles east of Palora with a depth of 82 miles. Another 5.5 tremblor was then felt about 9 miles southeast of Duran.
THOUSANDS OF CATTLE FEARED DEAD AFTER DROUGHT-STRICKEN AUSTRALIA HIT BY INTENSE FLOODING
There were no immediate reports of damage or injuries.
Video on social media showed residents standing outside in the streets.
CLICK HERE TO GET THE FOX NEWS APP
Another person called the quake a “wake up call"" in a tweet showing their chandelier moving back and forth.7.5 magnitude earthquake strikes near Ecuador-Peru border, USGS saysA 7.5 magnitude earthquake struck near the border of Ecuador and Peru early Friday, the U.S. Geological Survey said.","['A', '7', '5', 'magnitude', 'earthquake', 'struck', 'near', 'the', 'border', 'of', 'Ecuador', 'and', 'Peru', 'early', 'Friday', 'the', 'U', 'S', 'Geological', 'Survey', 'said', 'The', 'earthquake', 'struck', '71', 'miles', 'east', 'of', 'Palora', 'with', 'a', 'depth', 'of', '82', 'miles', 'Another', '5', '5', 'tremblor', 'was', 'then', 'felt', 'about', '9', 'miles', 'southeast', 'of', 'Duran', 'THOUSANDS', 'OF', 'CATTLE', 'FEARED', 'DEAD', 'AFTER', 'DROUGHT', 'STRICKEN', 'AUSTRALIA', 'HIT', 'BY', 'INTENSE', 'FLOODING', 'There', 'were', 'no', 'immediate', 'reports', 'of', 'damage', 'or', 'injuries', 'Video', 'on', 'social', 'media', 'showed', 'residents', 'standing', 'outside', 'in', 'the', 'streets', 'CLICK', 'HERE', 'TO', 'GET', 'THE', 'FOX', 'NEWS', 'APP', 'Another', 'person', 'called', 'the', 'quake', 'a', 'wake', 'up', 'call', 'in', 'a', 'tweet', 'showing', 'their', 'chandelier', 'moving', 'back', 'and', 'forth', '7', '5', 'magnitude', 'earthquake', 'strikes', 'near', 'Ecuador', 'Peru', 'border', 'USGS', 'saysA', '7', '5', 'magnitude', 'earthquake', 'struck', 'near', 'the', 'border', 'of', 'Ecuador', 'and', 'Peru', 'early', 'Friday', 'the', 'U', 'S', 'Geological', 'Survey', 'said']",A 7 5 magnitude earthquake struck near the border of Ecuador and Peru early Friday the U S Geological Survey said The earthquake struck 71 mile east of Palora with a depth of 82 mile Another 5 5 tremblor wa then felt about 9 mile southeast of Duran THOUSANDS OF CATTLE FEARED DEAD AFTER DROUGHT STRICKEN AUSTRALIA HIT BY INTENSE FLOODING There were no immediate report of damage or injury Video on social medium showed resident standing outside in the street CLICK HERE TO GET THE FOX NEWS APP Another person called the quake a wake up call in a tweet showing their chandelier moving back and forth 7 5 magnitude earthquake strike near Ecuador Peru border USGS saysA 7 5 magnitude earthquake struck near the border of Ecuador and Peru early Friday the U S Geological Survey said,A 7 5 magnitud earthquak struck near the border of ecuador and peru earli friday the U S geolog survey said the earthquak struck 71 mile east of palora with a depth of 82 mile anoth 5 5 tremblor wa then felt about 9 mile southeast of duran thousand OF cattl fear dead after drought stricken australia hit BY intens flood there were no immedi report of damag or injuri video on social media show resid stand outsid in the street click here TO get the fox new app anoth person call the quak a wake up call in a tweet show their chandeli move back and forth 7 5 magnitud earthquak strike near ecuador peru border usg saysa 7 5 magnitud earthquak struck near the border of ecuador and peru earli friday the U S geolog survey said,"['border', '82', 'miles', '5', 'magnitude', 'earthquake', 'struck', 'near', 'duran', 'forth', 'fox', 'news', 'app', 'another', 'person', 'called', 'drought', 'call', 'tremblor', 'strikes', 'ecuador', 'click', 'depth', 'peru', 'early', 'friday', 'video', 'felt', '9', 'southeast', 'palora', 'quake', 'social', 'media', 'showed', 'residents', 'standing', 'outside', 'thousands', 'geological', 'survey', 'said', 'tweet', 'showing', 'chandelier', 'moving', 'back', 'stricken', 'australia', 'hit', 'intense', 'flooding', 'injuries', 'cattle', 'feared', 'dead', 'get', '71', 'east', 'immediate', 'reports', 'streets', '“', 'wake', 'usgs', 'saysa', '7', 'u', 'damage']",1
7403,No author,,The U.S. Geological Survey says a very powerful magnitude 7.5 earthquake has struck eastern Ecuador close to its border with Peru,,2019-02-22,The Washington Post,Powerful 7.5-magnitude quake hits eastern Ecuador,,nanPowerful 7.5-magnitude quake hits eastern EcuadorThe U.S. Geological Survey says a very powerful magnitude 7.5 earthquake has struck eastern Ecuador close to its border with Peru,"['nanPowerful', '7', '5', 'magnitude', 'quake', 'hits', 'eastern', 'EcuadorThe', 'U', 'S', 'Geological', 'Survey', 'says', 'a', 'very', 'powerful', 'magnitude', '7', '5', 'earthquake', 'has', 'struck', 'eastern', 'Ecuador', 'close', 'to', 'its', 'border', 'with', 'Peru']",nanPowerful 7 5 magnitude quake hit eastern EcuadorThe U S Geological Survey say a very powerful magnitude 7 5 earthquake ha struck eastern Ecuador close to it border with Peru,nanpow 7 5 magnitud quak hit eastern ecuadorth U S geolog survey say a veri power magnitud 7 5 earthquak ha struck eastern ecuador close to it border with peru,"['border', 'powerful', 'magnitude', '7', '5', 'earthquake', 'struck', 'eastern', 'ecuador', 'close', 'geological', 'survey', 'says', 'peru', 'quake', 'hits', 'ecuadorthe', 'u', 'nanpowerful']",1
